,Grade,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도,보온재,고도,음/양지_0,음/양지_1,가정용/일반용_0,가정용/일반용_1
150,2,0.543046358,0,0.049180328,0,1,0,1,1,0,1,0
151,2,0.526490066,0.994997221,0.098360656,0,1,0,1,1,0,1,0
152,2,0.513245033,0.086436909,0.131147541,0,1,0,1,1,0,1,0
153,2,0.509933775,0.114785992,0.196721311,0,1,0,1,1,0,1,0
154,2,0.506622517,0,0.032786885,0,1,0,1,1,0,1,0
155,2,0.509933775,0.572818232,0.098360656,0,1,0,1,1,0,1,0
156,2,0.59602649,0.749027237,0.245901639,0,0.544232923,0,1,1,0,1,0
157,2,0.599337748,0.773763202,0.491803279,0,0.400895857,0,1,1,0,1,0
158,2,0.533112583,0.838243469,0.196721311,0,0.408734602,0,1,1,0,1,0
159,2,0.490066225,0.6934408,0.180327869,0,0.369540873,0,1,1,0,1,0
160,2,0.529801325,0.950250139,0.360655738,0,0.305711086,0,1,1,0,1,0
161,2,0.516556291,0.747359644,0.803278689,0,0.235162374,0,1,1,0,1,0
162,2,0.523178808,0.919677599,0.540983607,0,0.18924972,0,1,1,0,1,0
163,2,0.543046358,0.758198999,0.803278689,0,0.166853303,0,1,1,0,1,0
164,2,0.486754967,0.974708171,0.524590164,0,0.181410974,0,1,1,0,1,0
165,2,0.476821192,0.76459144,0.754098361,0,0.20268757,0,1,1,0,1,0
166,2,0.466887417,0.755975542,0.754098361,0,0.212765957,0,1,1,0,1,0
167,2,0.427152318,0.770705948,0.442622951,0,0.28443449,0,1,1,0,1,0
168,1,0.394039735,0.797387437,0.409836066,0,0.274356103,0,1,1,0,1,0
169,2,0.354304636,0.832406893,0.344262295,0,0.333706607,0,1,1,0,1,0
170,2,0.311258278,0.838799333,0.278688525,0,0.493840985,0,1,1,0,1,0
171,2,0.311258278,0.762645914,0.262295082,0,0.397536394,0,1,1,0,1,0
172,2,0.298013245,0.944413563,0.344262295,0,0.348264278,0,1,1,0,1,0
173,2,0.271523179,0.929127293,0.229508197,0,0.352743561,0,1,1,0,1,0
174,2,0.248344371,0.954974986,0.213114754,0,0.369540873,0,1,1,0,1,0
175,2,0.185430464,0,0.06557377,0,0.503919373,0,1,1,0,1,0
176,2,0.225165563,0.058365759,0.491803279,0,0.465845465,0,1,1,0,1,0
177,2,0.182119205,0.877431907,0.245901639,0,0.517357223,0,1,1,0,1,0
178,2,0.188741722,0.097276265,0.114754098,0,0.464725644,0,1,1,0,1,0
180,2,0.248344371,0.530294608,0.147540984,0,0.366181411,0,1,1,0,1,0
181,2,0.354304636,0.624791551,0.213114754,0,0.185890258,0,1,1,0,1,0
182,2,0.400662252,0.752084491,0.229508197,0,0.09518477,0,1,1,0,1,0
183,2,0.447019868,0.58782657,0.278688525,0,0.09518477,0,1,1,0,1,0
184,2,0.463576159,0.309060589,0.098360656,0,0.136618141,0,1,1,0,1,0
185,2,0.483443709,0.195664258,0.327868852,0,0.184770437,0,1,1,0,1,0
186,2,0.453642384,0.307670928,0.426229508,0,0.17581187,0,1,1,0,1,0
187,2,0.374172185,0.408838243,0.163934426,0,0.291153415,0,1,1,0,1,0
188,2,0.304635762,0.773207337,0.147540984,0,0.430011198,0,1,1,0,1,0
189,2,0.30794702,0,0.06557377,0,0.449048152,0,1,1,0,1,0
190,2,0.291390728,0.801000556,0.098360656,0,0.469204927,0,1,1,0,1,0
191,2,0.254966887,0,0.049180328,0,0.600223964,0,1,1,0,1,0
197,2,0.317880795,0.799888827,0.114754098,0,0.666293393,0,1,1,0,1,0
199,2,0.609271523,0.959699833,0.360655738,0,0.301231803,0,1,1,0,1,0
200,2,0.612582781,0.031684269,0.459016393,0,0.307950728,0,1,1,0,1,0
201,2,0.658940397,0.844357977,0.37704918,0,0.220604703,0,1,1,0,1,0
202,2,0.658940397,0.94024458,0.393442623,0,0.228443449,0,1,1,0,1,0
203,2,0.622516556,0.99749861,0.37704918,0,0.249720045,0,1,1,0,1,0
204,2,0.599337748,0.9032796,0.196721311,0,0.258678611,0,1,1,0,1,0
205,2,0.562913907,0.55725403,0.081967213,0,0.267637178,0,1,1,0,1,0
206,2,0.413907285,0,0.06557377,0,0.464725644,0,1,1,0,1,0
207,2,0.357615894,0,0.016393443,0,0.562150056,0,1,1,0,1,0
208,2,0.321192053,0,0.06557377,0,0.631578947,0,1,1,0,1,0
209,2,0.281456954,0,0.06557377,0,0.690929451,0,1,1,0,1,0
210,2,0.271523179,0.832684825,0.081967213,0,0.726763718,0,1,1,0,1,0
211,2,0.245033113,0,0.016393443,0,0.764837626,0,1,1,0,1,0
212,2,0.245033113,0,0.016393443,0,0.771556551,0,1,1,0,1,0
214,2,0.231788079,0.86381323,0.098360656,0,0.786114222,0,1,1,0,1,0
215,2,0.231788079,0,0.049180328,0,0.811870101,0,1,1,0,1,0
217,2,0.390728477,0,0.06557377,0,0.759238522,0,1,1,0,1,0
218,2,0.483443709,0.239577543,0.081967213,0,0.630459127,0,1,1,0,1,0
219,2,0.632450331,0.962479155,0.131147541,0,0.460246361,0,1,1,0,1,0
220,2,0.705298013,0.14118955,0.37704918,0,0.416573348,0,1,1,0,1,0
221,2,0.768211921,0.212340189,0.459016393,0,0.393057111,0,1,1,0,1,0
222,2,0.811258278,0.919399666,0.327868852,0,0.347144457,0,1,1,0,1,0
223,2,0.804635762,0.335186215,0.278688525,0,0.356103024,0,1,1,0,1,0
224,2,0.794701987,0.645358533,0.409836066,0,0.360582307,0,1,1,0,1,0
225,2,0.781456954,0.711506392,0.327868852,0,0.371780515,0,1,1,0,1,0
226,2,0.652317881,0.862979433,0.098360656,0,0.529675252,0,1,1,0,1,0
227,2,0.592715232,0.915786548,0.163934426,0,0.619260918,0,1,1,0,1,0
228,2,0.523178808,0.725125069,0.081967213,0,0.697648376,0,1,1,0,1,0
229,2,0.447019868,0,0.06557377,0,0.815229563,0,1,1,0,1,0
230,2,0.437086093,0.437743191,0.081967213,0,0.848824188,0,1,1,0,1,0
231,2,0.377483444,0,0.06557377,0,0.908174692,0,1,1,0,1,0
232,2,0.354304636,0,0.032786885,0,0.944008959,0,1,1,0,1,0
233,2,0.344370861,0,0.016393443,0,1,0,1,1,0,1,0
234,2,0.324503311,0,0.032786885,0,1,0,1,1,0,1,0
235,2,0.314569536,0,0.06557377,0,1,0,1,1,0,1,0
236,2,0.301324503,0,0.049180328,0,1,0,1,1,0,1,0
237,2,0.294701987,0,0.049180328,0,1,0,1,1,0,1,0
238,2,0.284768212,0,0.016393443,0,1,0,1,1,0,1,0
240,2,0.344370861,0,0.06557377,0,1,0,1,1,0,1,0
241,2,0.443708609,0.25319622,0.081967213,0,0.967525196,0,1,1,0,1,0
242,2,0.592715232,0.258476932,0.098360656,0,0.705487122,0,1,1,0,1,0
243,2,0.768211921,0.87020567,0.081967213,0,0.51287794,0,1,1,0,1,0
244,2,0.837748344,0.078654808,0.245901639,0,0.460246361,0,1,1,0,1,0
245,2,0.854304636,0.116731518,0.475409836,0,0.441209406,0,1,1,0,1,0
246,2,0.867549669,0.086436909,0.278688525,0,0.408734602,0,1,1,0,1,0
247,2,0.82781457,0.611450806,0.180327869,0,0.456886898,0,1,1,0,1,0
248,2,0.701986755,0,0.06557377,0,0.591265398,0,1,1,0,1,0
249,2,0.61589404,0,0.06557377,0,0.670772676,0,1,1,0,1,0
250,2,0.549668874,0,0.049180328,0,0.750279955,0,1,1,0,1,0
251,2,0.493377483,0,0.049180328,0,0.805151176,0,1,1,0,1,0
252,2,0.466887417,0,0.06557377,0,0.880179171,0,1,1,0,1,0
253,2,0.407284768,0,0.049180328,0,0.881298992,0,1,1,0,1,0
254,2,0.394039735,0,0.049180328,0,1,0,1,1,0,1,0
255,2,0.357615894,0,0.06557377,0,1,0,1,1,0,1,0
256,2,0.344370861,0,0.049180328,0,1,0,1,1,0,1,0
257,2,0.311258278,0,0.049180328,0,1,0,1,1,0,1,0
258,2,0.304635762,0,0.049180328,0,1,0,1,1,0,1,0
259,2,0.301324503,0.743746526,0.098360656,0,1,0,1,1,0,1,0
260,2,0.278145695,0,0.049180328,0,1,0,1,1,0,1,0
261,2,0.274834437,0,0.016393443,0,1,0,1,1,0,1,0
262,2,0.248344371,0,0.016393443,0,1,0,1,1,0,1,0
264,2,0.324503311,0,0.016393443,0,1,0,1,1,0,1,0
265,2,0.433774834,0.320733741,0.081967213,0,0.93281075,0,1,1,0,1,0
266,2,0.599337748,0.352973874,0.081967213,0,0.56774916,0,1,1,0,1,0
267,2,0.731788079,0.281823235,0.114754098,0,0.292273236,0,1,1,0,1,0
268,2,0.751655629,0.087548638,0.114754098,0,0.182530795,0,1,1,0,1,0
269,2,0.801324503,0.970817121,0.180327869,0,0.138857783,0,1,1,0,1,0
270,2,0.794701987,0.354641467,0.278688525,0,0.0806271,0,1,1,0,1,0
271,2,0.751655629,0.372984992,0.163934426,0,0.120940649,0,1,1,0,1,0
272,2,0.622516556,0,0.032786885,0,0.290033595,0,1,1,0,1,0
273,2,0.523178808,0,0.016393443,0,0.37849944,0,1,1,0,1,0
274,2,0.463576159,0,0.016393443,0,0.464725644,0,1,1,0,1,0
275,2,0.413907285,0,0,0,0.55431131,0,1,1,0,1,0
276,2,0.367549669,0,0.049180328,0,0.617021277,0,1,1,0,1,0
277,2,0.337748344,0,0.016393443,0,0.678611422,0,1,1,0,1,0
278,2,0.317880795,0,0.032786885,0,0.666293393,0,1,1,0,1,0
279,2,0.294701987,0,0.016393443,0,0.701007839,0,1,1,0,1,0
280,2,0.271523179,0,0,0,0.746920493,0,1,1,0,1,0
281,2,0.258278146,0,0,0,0.778275476,0,1,1,0,1,0
282,2,0.238410596,0,0,0,0.814109742,0,1,1,0,1,0
283,2,0.225165563,0,0,0,0.836506159,0,1,1,0,1,0
284,2,0.215231788,0,0,0,0.854423292,0,1,1,0,1,0
289,2,0.380794702,0.329071707,0.098360656,0,0.604703247,0,1,1,0,1,0
290,2,0.523178808,0.265981101,0.098360656,0,0.408734602,0,1,1,0,1,0
291,2,0.698675497,0.352973874,0.081967213,0,0.257558791,0,1,1,0,1,0
292,2,0.754966887,0.120622568,0.213114754,0,0.193729003,0,1,1,0,1,0
293,2,0.771523179,0.033351862,0.295081967,0,0.179171333,0,1,1,0,1,0
294,2,0.754966887,0.0241801,0.475409836,0,0.183650616,0,1,1,0,1,0
295,2,0.741721854,0.085881045,0.229508197,0,0.194848824,0,1,1,0,1,0
296,2,0.625827815,0.548082268,0.081967213,0,0.326987682,0,1,1,0,1,0
297,2,0.51986755,0,0.032786885,0,0.463605823,0,1,1,0,1,0
298,2,0.447019868,0,0.016393443,0,0.549832027,0,1,1,0,1,0
299,2,0.400662252,0,0,0,0.611422172,0,1,1,0,1,0
300,2,0.387417219,0,0.016393443,0,0.667413214,0,1,1,0,1,0
301,2,0.387417219,0,0.016393443,0,0.669652856,0,1,1,0,1,0
302,2,0.364238411,0,0.06557377,0,0.697648376,0,1,1,0,1,0
303,2,0.344370861,0,0,0,0.750279955,0,1,1,0,1,0
304,2,0.337748344,0,0.016393443,0,0.75699888,0,1,1,0,1,0
305,2,0.32781457,0,0.016393443,0,0.781634938,0,1,1,0,1,0
306,2,0.30794702,0,0,0,0.820828667,0,1,1,0,1,0
307,2,0.30794702,0,0.016393443,0,0.814109742,0,1,1,0,1,0
308,2,0.28807947,0,0,0,0.83762598,0,1,1,0,1,0
309,2,0.278145695,0,0,0,0.885778275,0,1,1,0,1,0
310,2,0.298013245,0,0.016393443,0,0.856662934,0,1,1,0,1,0
312,2,0.341059603,0,0.032786885,0,0.830907055,0,1,1,0,1,0
313,2,0.447019868,0.401334074,0.114754098,0,0.649496081,0,1,1,0,1,0
314,2,0.622516556,0,0.06557377,0,0.452407615,0,1,1,0,1,0
315,2,0.658940397,0.866870484,0.114754098,0,0.414333707,0,1,1,0,1,0
316,2,0.71192053,0.380767093,0.098360656,0,0.376259798,0,1,1,0,1,0
317,2,0.748344371,0.76209005,0.081967213,0,0.341545353,0,1,1,0,1,0
318,2,0.751655629,0.503613118,0.131147541,0,0.337066069,0,1,1,0,1,0
319,2,0.764900662,0.091439689,0.147540984,0,0.331466965,0,1,1,0,1,0
320,2,0.728476821,0.33463035,0.245901639,0,0.376259798,0,1,1,0,1,0
321,2,0.639072848,0,0.06557377,0,0.518477044,0,1,1,0,1,0
322,2,0.612582781,0.685658699,0.098360656,0,0.558790594,0,1,1,0,1,0
323,2,0.602649007,0.62979433,0.081967213,0,0.54087346,0,1,1,0,1,0
324,2,0.569536424,0.730961645,0.229508197,0,0.630459127,0,1,1,0,1,0
325,2,0.536423841,0.767092829,0.180327869,0,0.641657335,0,1,1,0,1,0
326,2,0.473509934,0.463035019,0.131147541,0,0.705487122,0,1,1,0,1,0
327,2,0.400662252,0.510561423,0.098360656,0,0.777155655,0,1,1,0,1,0
328,2,0.38410596,0.419399666,0.147540984,0,0.73012318,0,1,1,0,1,0
329,2,0.377483444,0.758754864,0.098360656,0,0.622620381,0,1,1,0,1,0
330,2,0.38410596,0.862145636,0.180327869,0,0.465845465,0,1,1,0,1,0
331,2,0.364238411,0.924124514,0.426229508,0,0.400895857,0,1,1,0,1,0
332,2,0.32781457,0.898554753,0.327868852,0,0.409854423,0,1,1,0,1,0
333,2,0.304635762,0.956920511,0.295081967,0,0.437849944,0,1,1,0,1,0
334,2,0.284768212,0.953307393,0.360655738,0,0.394176932,0,1,1,0,1,0
335,2,0.264900662,0.003891051,0.557377049,0,0.344904815,0,1,1,0,1,0
336,2,0.291390728,0.015564202,0.590163934,0,0.281075028,0,1,1,0,1,0
337,2,0.324503311,0.996386882,0.62295082,0,0.254199328,0,1,1,0,1,0
338,2,0.337748344,0.047804336,1,0,0.22956327,0,1,1,0,1,0
339,2,0.357615894,0.940800445,0.459016393,0,0.197088466,0,1,1,0,1,0
340,2,0.387417219,0.006948305,0.442622951,0,0.179171333,0,1,1,0,1,0
341,2,0.380794702,0.03057254,0.704918033,0,0.16237402,0,1,1,0,1,0
342,2,0.377483444,0.001945525,0.475409836,0,0.176931691,0,1,1,0,1,0
343,2,0.344370861,0.982768205,0.426229508,0,0.18924972,0,1,1,0,1,0
344,2,0.294701987,0.706503613,0.229508197,0,0.225083987,0,1,1,0,1,0
345,2,0.268211921,0.736242357,0.31147541,0,0.208286674,0,1,1,0,1,0
346,2,0.241721854,0.98860478,0.229508197,0,0.240761478,0,1,1,0,1,0
347,2,0.221854305,0.935797665,0.360655738,0,0.263157895,0,1,1,0,1,0
348,2,0.195364238,0.043079489,0.409836066,0,0.334826428,0,1,1,0,1,0
349,2,0.178807947,0.033629794,0.475409836,0,0.371780515,0,1,1,0,1,0
350,2,0.158940397,0.888549194,0.131147541,0,0.374020157,0,1,1,0,1,0
353,2,0.231788079,0.458310172,0.360655738,0,0.264277716,0,1,1,0,1,0
354,2,0.281456954,0.415508616,0.229508197,0,0.173572228,0,1,1,0,1,0
355,2,0.321192053,0.965258477,0.540983607,0,0.155655095,0,1,1,0,1,0
356,2,0.337748344,0.953307393,0.475409836,0,0.144456887,0,1,1,0,1,0
357,2,0.347682119,0.917454141,0.426229508,0,0.124300112,0,1,1,0,1,0
358,2,0.334437086,0.889660923,0.426229508,0,0.152295633,0,1,1,0,1,0
359,2,0.314569536,0.853807671,0.475409836,0,0.17581187,0,1,1,0,1,0
362,1,0.145695364,0,0.06557377,0,0.422172452,0,1,1,0,1,0
363,1,0.135761589,0,0.06557377,0,0.446808511,0,1,1,0,1,0
364,1,0.105960265,0,0.032786885,0,0.506159015,0,1,1,0,1,0
369,1,0.245033113,0.35241801,0.147540984,0,0.455767077,0,1,1,0,1,0
370,1,0.370860927,0.437465258,0.213114754,0,0.306830907,0,1,1,0,1,0
371,1,0.420529801,0.193996665,0.163934426,0,0.254199328,0,1,1,0,1,0
372,1,0.490066225,0.979155086,0.606557377,0,0.251959686,0,1,1,0,1,0
373,2,0.509933775,0.94024458,0.573770492,0,0.258678611,0,1,1,0,1,0
374,2,0.516556291,0.965814341,0.409836066,0,0.278835386,0,1,1,0,1,0
375,2,0.509933775,0.969705392,0.409836066,0,0.32474804,0,1,1,0,1,0
