,Grade,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도,보온재,고도,음/양지_0,음/양지_1,가정용/일반용_0,가정용/일반용_1
376,1,2.4,260.4,2.2,0,40.4,0,29,1,0,1,0
377,1,-1.7,255.8,0.5,0,54.2,0,29,1,0,1,0
378,1,-2.4,0,0.2,0,59.7,0,29,1,0,1,0
379,1,-2.6,34.6,0.6,0,62.5,0,29,1,0,1,0
380,1,-2.5,175.2,0.6,0,64.8,0,29,1,0,1,0
381,1,-3.3,35.9,1.1,0,67.5,0,29,1,0,1,0
382,1,-3.5,240.4,0.8,0,68.9,0,29,1,0,1,0
383,1,-4.6,0,0.4,0,75.3,0,29,1,0,1,0
384,1,-5.2,7.2,0.5,0,78.4,0,29,1,0,1,0
385,1,-6.2,0,0.4,0,82.1,0,29,1,0,1,0
388,1,-1.9,105.3,0.5,0,72,0,29,1,0,1,0
389,1,2.4,64.1,0.9,0,58.8,0,29,1,0,1,0
390,0,5.4,0,0.4,0,49.3,0,29,1,0,1,0
391,0,6.6,17.6,1.1,0,45.3,0,29,1,0,1,0
392,0,6.6,77.5,1.8,0,45.2,0,29,1,0,1,0
393,0,7.2,27,1.5,0,44.1,0,29,1,0,1,0
394,0,6.5,14.2,2.6,0,47.2,0,29,1,0,1,0
395,0,5.5,0,0.3,0,50.6,0,29,1,0,1,0
396,0,1.9,0,0.2,0,63.2,0,29,1,0,1,0
397,0,-0.1,0,0.1,0,71.1,0,29,1,0,1,0
398,0,-0.8,0,0.2,0,75.1,0,29,1,0,1,0
399,1,-2.6,289.9,0.5,0,82.3,0,29,1,0,1,0
400,1,-3.6,0,0.3,0,86.2,0,29,1,0,1,0
401,1,-4.5,0,0.2,0,87.5,0,29,1,0,1,0
402,1,-5.1,0,0.2,0,94,0,29,1,0,1,0
403,1,-4.7,0,0.3,0,94.6,0,29,1,0,1,0
404,1,-4,0,0.3,0,94.3,0,29,1,0,1,0
405,1,-4.6,14.5,0.5,0,95.6,0,29,1,0,1,0
406,1,-4.8,0,0.1,0,97.9,0,29,1,0,1,0
408,1,-1.7,36.6,0.6,0,90,0,29,1,0,1,0
409,1,2.3,46.5,0.7,0,70.6,0,29,1,0,1,0
410,1,7.2,61.8,1.2,0,50.9,0,29,1,0,1,0
411,0,9.8,357.6,2,0,37.6,0,29,1,0,1,0
